;iso2;year;new_sp;m_cases;f_cases
91;AG;2004;;0.0;0.0
92;AG;2005;6.0;2.0;4.0
93;AG;2006;4.0;0.0;0.0
94;AG;2007;2.0;2.0;0.0
95;AG;2008;1.0;1.0;0.0
96;AI;1980;;0.0;0.0
97;AI;1981;;0.0;0.0
98;AI;1982;;0.0;0.0
99;AI;1983;;0.0;0.0
100;AI;1984;;0.0;0.0
101;AI;1985;;0.0;0.0
102;AI;1986;;0.0;0.0
103;AI;1987;;0.0;0.0
104;AI;1988;;0.0;0.0
105;AI;1989;;0.0;0.0
106;AI;1990;;0.0;0.0
107;AI;1991;;0.0;0.0
108;AI;1992;;0.0;0.0
109;AI;1995;0.0;0.0;0.0
110;AI;1997;0.0;0.0;0.0
111;AI;2001;0.0;0.0;0.0
112;AI;2002;0.0;0.0;0.0
113;AI;2003;;0.0;1.0
114;AI;2004;0.0;0.0;0.0
115;AI;2006;0.0;0.0;0.0
116;AI;2007;0.0;0.0;0.0
117;AI;2008;;0.0;0.0
118;AL;1980;;0.0;0.0
119;AL;1981;;0.0;0.0
120;AL;1982;;0.0;0.0
121;AL;1983;;0.0;0.0
122;AL;1984;;0.0;0.0
123;AL;1985;;0.0;0.0
124;AL;1986;;0.0;0.0
125;AL;1987;;0.0;0.0
126;AL;1988;;0.0;0.0
127;AL;1989;;0.0;0.0
128;AL;1990;;0.0;0.0
129;AL;1991;;0.0;0.0
130;AL;1994;250.0;0.0;0.0
131;AL;1995;139.0;89.0;50.0
132;AL;1996;173.0;0.0;0.0
133;AL;1997;241.0;164.0;77.0
134;AL;1998;212.0;131.0;81.0
135;AL;1999;168.0;110.0;58.0
136;AL;2000;171.0;115.0;56.0
137;AL;2001;171.0;120.0;51.0
138;AL;2002;225.0;144.0;81.0
139;AL;2003;211.0;136.0;75.0
140;AL;2004;201.0;124.0;77.0
141;AL;2005;196.0;151.0;45.0
142;AL;2006;186.0;130.0;56.0
143;AL;2007;165.0;107.0;58.0
144;AL;2008;170.0;111.0;59.0
145;AM;1980;;0.0;0.0
146;AM;1981;;0.0;0.0
147;AM;1982;;0.0;0.0
148;AM;1983;;0.0;0.0
149;AM;1984;;0.0;0.0
150;AM;1985;;0.0;0.0
151;AM;1986;;0.0;0.0
152;AM;1987;;0.0;0.0
153;AM;1988;;0.0;0.0
154;AM;1989;;0.0;0.0
155;AM;1990;;0.0;0.0
156;AM;1991;;0.0;0.0
157;AM;1992;;0.0;0.0
158;AM;1993;;0.0;0.0
159;AM;1994;319.0;0.0;0.0
160;AM;1995;436.0;65.0;13.0
161;AM;1996;327.0;286.0;41.0
162;AM;1997;400.0;320.0;80.0
163;AM;1998;475.0;401.0;74.0
164;AM;1999;576.0;491.0;85.0
165;AM;2000;621.0;525.0;96.0
166;AM;2001;572.0;456.0;116.0
167;AM;2002;511.0;396.0;115.0
168;AM;2003;575.0;476.0;99.0
169;AM;2004;602.0;391.0;70.0
170;AM;2005;581.0;498.0;83.0
171;AM;2006;580.0;478.0;102.0
172;AM;2007;497.0;410.0;87.0
173;AM;2008;487.0;369.0;118.0
174;AN;1996;3.0;3.0;1.0
175;AN;1997;5.0;6.0;7.0
176;AN;1998;6.0;3.0;4.0
177;AN;1999;2.0;2.0;2.0
178;AN;2000;2.0;3.0;2.0
179;AN;2001;7.0;6.0;2.0
180;AN;2002;9.0;11.0;3.0
181;AN;2003;4.0;6.0;3.0
182;AN;2004;8.0;10.0;1.0
183;AN;2005;;0.0;0.0
184;AN;2006;5.0;4.0;1.0
185;AN;2007;;0.0;0.0
186;AN;2008;;0.0;0.0
187;AO;1980;;0.0;0.0
188;AO;1981;;0.0;0.0
189;AO;1982;;0.0;0.0
190;AO;1983;;0.0;0.0
191;AO;1984;;0.0;0.0
192;AO;1985;;0.0;0.0
193;AO;1986;;0.0;0.0
194;AO;1987;;0.0;0.0
195;AO;1988;;0.0;0.0
196;AO;1989;;0.0;0.0
197;AO;1990;;0.0;0.0
198;AO;1991;;0.0;0.0
199;AO;1992;;0.0;0.0
200;AO;1993;4874.0;0.0;0.0
201;AO;1994;4337.0;0.0;0.0
202;AO;1995;3804.0;2411.0;2181.0
203;AO;1996;8016.0;4259.0;3757.0
204;AO;1997;8246.0;4181.0;4020.0
205;AO;1998;7333.0;3768.0;3554.0
206;AO;1999;7379.0;4801.0;4441.0
207;AO;2000;9053.0;4088.0;4061.0
208;AO;2001;11923.0;3312.0;3493.0
209;AO;2002;18087.0;9120.0;8868.0
210;AO;2003;18971.0;9233.0;9738.0
211;AO;2004;20301.0;9973.0;10360.0
212;AO;2005;20410.0;10165.0;10245.0
213;AO;2006;21499.0;10957.0;10542.0
214;AO;2007;21422.0;11281.0;10141.0
215;AO;2008;22562.0;11881.0;10681.0
216;AR;1980;;0.0;0.0
217;AR;1981;;0.0;0.0
218;AR;1982;;0.0;0.0
219;AR;1983;;0.0;0.0
220;AR;1984;;0.0;0.0
221;AR;1985;;0.0;0.0
222;AR;1986;;0.0;0.0
223;AR;1987;;0.0;0.0
224;AR;1988;;0.0;0.0
225;AR;1989;;0.0;0.0
226;AR;1990;;0.0;0.0
227;AR;1991;;0.0;0.0
228;AR;1992;;0.0;0.0
229;AR;1993;5937.0;0.0;0.0
230;AR;1994;5696.0;0.0;0.0
231;AR;1995;5698.0;0.0;0.0
232;AR;1996;5787.0;2389.0;3398.0
233;AR;1997;5307.0;3098.0;2219.0
234;AR;1998;5186.0;2929.0;2133.0
235;AR;1999;4830.0;2789.0;1980.0
236;AR;2000;4749.0;2488.0;2031.0
237;AR;2001;5595.0;3177.0;2329.0
238;AR;2002;5498.0;3068.0;2315.0
239;AR;2003;4961.0;2873.0;2086.0
240;AR;2004;4760.0;2658.0;2008.0
241;AR;2005;4709.0;2645.0;1991.0
242;AR;2006;4834.0;2448.0;1767.0
243;AR;2007;4985.0;2885.0;2009.0
244;AR;2008;4758.0;2808.0;1950.0
245;AS;1980;;0.0;0.0
246;AS;1981;;0.0;0.0
247;AS;1982;;0.0;0.0
248;AS;1983;;0.0;0.0
249;AS;1984;;0.0;0.0
250;AS;1985;;0.0;0.0
251;AS;1986;;0.0;0.0
252;AS;1987;;0.0;0.0
253;AS;1988;;0.0;0.0
254;AS;1989;;0.0;0.0
255;AS;1990;;0.0;0.0
256;AS;1991;;0.0;0.0
257;AS;1992;;0.0;0.0
258;AS;1993;1.0;0.0;0.0
259;AS;1994;4.0;0.0;0.0
260;AS;1995;;0.0;0.0
261;AS;1996;0.0;0.0;0.0
262;AS;1997;6.0;5.0;1.0
263;AS;1998;2.0;0.0;0.0
264;AS;1999;3.0;0.0;0.0
265;AS;2000;2.0;2.0;1.0
266;AS;2001;2.0;0.0;2.0
267;AS;2002;1.0;1.0;0.0
268;AS;2003;2.0;1.0;1.0
269;AS;2004;2.0;2.0;1.0
270;AS;2005;3.0;0.0;3.0
271;AS;2006;3.0;0.0;3.0
272;AS;2007;0.0;0.0;0.0
273;AS;2008;0.0;0.0;0.0
274;AT;1980;;0.0;0.0
275;AT;1981;;0.0;0.0
276;AT;1982;;0.0;0.0
277;AT;1983;;0.0;0.0
278;AT;1984;;0.0;0.0
279;AT;1985;;0.0;0.0
280;AT;1986;;0.0;0.0
281;AT;1987;;0.0;0.0
282;AT;1988;;0.0;0.0
283;AT;1989;;0.0;0.0
284;AT;1990;;0.0;0.0
285;AT;1991;;0.0;0.0
286;AT;1992;;0.0;0.0
287;AT;1993;;0.0;0.0
288;AT;1994;;0.0;0.0
289;AT;1995;467.0;451.0;210.0
290;AT;1996;442.0;0.0;0.0
291;AT;1997;434.0;845.0;505.0
292;AT;1998;381.0;0.0;0.0
293;AT;1999;323.0;245.0;78.0
294;AT;2000;324.0;213.0;85.0
295;AT;2001;262.0;183.0;65.0
296;AT;2002;220.0;143.0;61.0
297;AT;2003;269.0;177.0;72.0
298;AT;2004;216.0;149.0;58.0
299;AT;2005;234.0;173.0;50.0
300;AT;2006;213.0;148.0;65.0
301;AT;2007;189.0;124.0;65.0
302;AT;2008;;0.0;0.0
303;AU;1980;;0.0;0.0
304;AU;1981;;0.0;0.0
305;AU;1982;;0.0;0.0
306;AU;1983;;0.0;0.0
307;AU;1984;;0.0;0.0
308;AU;1985;;0.0;0.0
309;AU;1986;;0.0;0.0
310;AU;1987;;0.0;0.0
311;AU;1988;;0.0;0.0
312;AU;1989;;0.0;0.0
313;AU;1990;;0.0;0.0
314;AU;1991;;0.0;0.0
315;AU;1992;;0.0;0.0
316;AU;1993;557.0;0.0;0.0
317;AU;1994;;0.0;0.0
318;AU;1995;;0.0;0.0
319;AU;1996;;0.0;0.0
320;AU;1997;226.0;109.0;61.0
321;AU;1998;203.0;110.0;94.0
322;AU;1999;285.0;245.0;78.0
323;AU;2000;251.0;171.0;80.0
324;AU;2001;228.0;128.0;100.0
325;AU;2002;210.0;128.0;84.0
326;AU;2003;113.0;72.0;41.0
327;AU;2004;285.0;109.0;57.0
328;AU;2005;241.0;135.0;87.0
329;AU;2006;269.0;172.0;98.0
330;AU;2007;281.0;152.0;129.0
331;AU;2008;299.0;193.0;103.0
332;AZ;1980;;0.0;0.0
333;AZ;1981;;0.0;0.0
334;AZ;1982;;0.0;0.0
335;AZ;1983;;0.0;0.0
336;AZ;1984;;0.0;0.0
337;AZ;1985;;0.0;0.0
338;AZ;1986;;0.0;0.0
339;AZ;1987;;0.0;0.0
340;AZ;1988;;0.0;0.0
341;AZ;1989;;0.0;0.0
342;AZ;1990;;0.0;0.0
343;AZ;1991;;0.0;0.0
344;AZ;1992;;0.0;0.0
345;AZ;1993;499.0;0.0;0.0
346;AZ;1994;513.0;0.0;0.0
347;AZ;1995;669.0;67.0;23.0
348;AZ;1996;990.0;754.0;304.0
349;AZ;1997;981.0;662.0;313.0
350;AZ;1998;727.0;130.0;31.0
351;AZ;1999;763.0;592.0;171.0
352;AZ;2000;890.0;138.0;15.0
353;AZ;2001;927.0;7.0;3.0
354;AZ;2002;1661.0;1366.0;295.0
355;AZ;2003;1161.0;887.0;274.0
356;AZ;2004;1472.0;1131.0;341.0
357;AZ;2005;1561.0;1182.0;379.0
358;AZ;2006;1454.0;1202.0;252.0
359;AZ;2007;1356.0;0.0;0.0
360;AZ;2008;1409.0;0.0;0.0
361;BA;1980;;0.0;0.0
362;BA;1981;;0.0;0.0
363;BA;1982;;0.0;0.0
364;BA;1983;;0.0;0.0
365;BA;1984;;0.0;0.0
366;BA;1985;;0.0;0.0
367;BA;1986;;0.0;0.0
368;BA;1987;;0.0;0.0
369;BA;1988;;0.0;0.0
370;BA;1989;;0.0;0.0
371;BA;1990;;0.0;0.0
372;BA;1991;;0.0;0.0
373;BA;1992;;0.0;0.0
374;BA;1993;;0.0;0.0
375;BA;1994;;0.0;0.0
376;BA;1995;865.0;545.0;320.0
377;BA;1996;927.0;295.0;172.0
378;BA;1997;803.0;412.0;339.0
379;BA;1998;640.0;394.0;246.0
380;BA;1999;786.0;452.0;297.0
381;BA;2000;759.0;442.0;310.0
382;BA;2001;800.0;466.0;330.0
383;BA;2002;526.0;320.0;206.0
384;BA;2003;493.0;274.0;219.0
385;BA;2004;889.0;517.0;370.0
386;BA;2005;640.0;345.0;295.0
387;BA;2006;562.0;308.0;254.0
388;BA;2007;737.0;0.0;0.0
389;BA;2008;509.0;305.0;204.0
390;BB;1980;;0.0;0.0
391;BB;1981;;0.0;0.0
392;BB;1982;;0.0;0.0
393;BB;1983;;0.0;0.0
394;BB;1984;;0.0;0.0
395;BB;1985;;0.0;0.0
396;BB;1986;;0.0;0.0
397;BB;1987;;0.0;0.0
398;BB;1988;;0.0;0.0
399;BB;1989;;0.0;0.0
400;BB;1990;;0.0;0.0
401;BB;1991;;0.0;0.0
402;BB;1992;;0.0;0.0
403;BB;1995;3.0;0.0;0.0
404;BB;1996;3.0;3.0;0.0
405;BB;1997;5.0;0.0;0.0
406;BB;1998;4.0;0.0;0.0
407;BB;1999;2.0;0.0;0.0
408;BB;2000;3.0;2.0;1.0
409;BB;2001;6.0;4.0;2.0
410;BB;2002;5.0;4.0;1.0
411;BB;2003;;0.0;0.0
412;BB;2004;19.0;14.0;6.0
413;BB;2005;;0.0;0.0
414;BB;2006;4.0;2.0;2.0
415;BB;2007;8.0;5.0;3.0
416;BB;2008;1.0;1.0;0.0
417;BD;1980;;0.0;0.0
418;BD;1981;;0.0;0.0
419;BD;1982;;0.0;0.0
420;BD;1983;;0.0;0.0
421;BD;1984;;0.0;0.0
422;BD;1985;;0.0;0.0
423;BD;1986;;0.0;0.0
424;BD;1987;;0.0;0.0
425;BD;1988;;0.0;0.0
426;BD;1989;;0.0;0.0
427;BD;1990;;0.0;0.0
428;BD;1991;;0.0;0.0
429;BD;1992;;0.0;0.0
430;BD;1993;18993.0;0.0;0.0
431;BD;1994;1710.0;0.0;0.0
432;BD;1995;20524.0;4338.0;1685.0
433;BD;1996;29674.0;5471.0;2080.0
434;BD;1997;33117.0;21909.0;8385.0
435;BD;1998;37737.0;26862.0;10761.0
436;BD;1999;37821.0;26700.0;10974.0
437;BD;2000;38484.0;26511.0;11472.0
438;BD;2001;40777.0;28243.0;12244.0
439;BD;2002;46811.0;32421.0;14350.0
440;BD;2003;53618.0;37409.0;16209.0
441;BD;2004;62694.0;43533.0;18967.0
442;BD;2005;84848.0;57527.0;27321.0
443;BD;2006;101967.0;68773.0;33194.0
444;BD;2007;104296.0;69968.0;34328.0
445;BD;2008;106373.0;71240.0;35133.0
446;BE;1980;;0.0;0.0
447;BE;1981;;0.0;0.0
448;BE;1982;;0.0;0.0
449;BE;1983;;0.0;0.0
450;BE;1984;;0.0;0.0
451;BE;1985;;0.0;0.0
452;BE;1986;;0.0;0.0
453;BE;1987;;0.0;0.0
454;BE;1988;;0.0;0.0
455;BE;1989;;0.0;0.0
456;BE;1990;;0.0;0.0
457;BE;1991;;0.0;0.0
458;BE;1992;;0.0;0.0
459;BE;1993;484.0;0.0;0.0
460;BE;1994;427.0;0.0;0.0
461;BE;1995;400.0;346.0;132.0
462;BE;1996;364.0;249.0;115.0
463;BE;1997;434.0;321.0;113.0
464;BE;1998;418.0;295.0;123.0
465;BE;1999;403.0;276.0;127.0
466;BE;2000;409.0;262.0;99.0
467;BE;2001;472.0;247.0;105.0
468;BE;2002;419.0;238.0;103.0
469;BE;2003;362.0;188.0;77.0
470;BE;2004;391.0;221.0;85.0
471;BE;2005;380.0;198.0;114.0
472;BE;2006;343.0;234.0;109.0
473;BE;2007;322.0;214.0;108.0
474;BE;2008;311.0;206.0;105.0
475;BF;1980;;0.0;0.0
476;BF;1981;;0.0;0.0
477;BF;1982;;0.0;0.0
478;BF;1983;;0.0;0.0
479;BF;1984;;0.0;0.0
480;BF;1985;;0.0;0.0
481;BF;1986;;0.0;0.0
482;BF;1987;;0.0;0.0
483;BF;1988;;0.0;0.0
484;BF;1989;;0.0;0.0
485;BF;1990;;0.0;0.0
486;BF;1991;;0.0;0.0
487;BF;1993;;0.0;0.0
488;BF;1994;561.0;0.0;0.0
489;BF;1995;1028.0;467.0;222.0
490;BF;1996;1381.0;575.0;324.0
491;BF;1997;1126.0;575.0;324.0
492;BF;1998;1331.0;927.0;404.0
493;BF;1999;1411.0;818.0;430.0
494;BF;2000;1560.0;895.0;392.0
495;BF;2001;1522.0;1053.0;465.0
496;BF;2002;1544.0;1031.0;495.0
497;BF;2003;1703.0;1167.0;536.0
498;BF;2004;1926.0;1292.0;634.0
499;BF;2005;2294.0;1529.0;765.0
500;BF;2006;2659.0;1776.0;883.0
501;BF;2007;2614.0;1736.0;878.0
502;BF;2008;2756.0;1870.0;886.0
503;BG;1980;;0.0;0.0
504;BG;1981;;0.0;0.0
505;BG;1982;;0.0;0.0
506;BG;1983;;0.0;0.0
507;BG;1984;;0.0;0.0
508;BG;1985;;0.0;0.0
509;BG;1986;;0.0;0.0
510;BG;1987;;0.0;0.0
511;BG;1988;;0.0;0.0
512;BG;1989;;0.0;0.0
513;BG;1990;;0.0;0.0
514;BG;1991;;0.0;0.0
515;BG;1992;;0.0;0.0
516;BG;1993;;0.0;0.0
517;BG;1994;3096.0;0.0;0.0
518;BG;1995;1087.0;0.0;0.0
519;BG;1996;903.0;0.0;0.0
520;BG;1997;1037.0;0.0;0.0
521;BG;1998;1325.0;0.0;0.0
522;BG;1999;1697.0;0.0;0.0
523;BG;2000;2524.0;71.0;45.0
524;BG;2001;897.0;113.0;57.0
525;BG;2002;1007.0;512.0;230.0
526;BG;2003;1254.0;859.0;395.0
527;BG;2004;1315.0;897.0;418.0
528;BG;2005;1214.0;933.0;405.0
529;BG;2006;1307.0;848.0;387.0
530;BG;2007;1080.0;770.0;310.0
531;BG;2008;1020.0;732.0;288.0
532;BH;1980;;0.0;0.0
533;BH;1981;;0.0;0.0
534;BH;1982;;0.0;0.0
535;BH;1983;;0.0;0.0
536;BH;1984;;0.0;0.0
537;BH;1985;;0.0;0.0
538;BH;1986;;0.0;0.0
539;BH;1987;;0.0;0.0
540;BH;1988;;0.0;0.0
541;BH;1989;;0.0;0.0
542;BH;1990;;0.0;0.0
543;BH;1991;;0.0;0.0
544;BH;1992;;0.0;0.0
545;BH;1993;82.0;0.0;0.0
546;BH;1995;17.0;10.0;6.0
547;BH;1996;31.0;86.0;35.0
548;BH;1997;22.0;87.0;23.0
549;BH;1998;25.0;134.0;36.0
550;BH;1999;21.0;66.0;27.0
551;BH;2000;23.0;17.0;6.0
552;BH;2001;23.0;18.0;5.0
553;BH;2002;17.0;12.0;5.0
554;BH;2003;16.0;13.0;3.0
555;BH;2004;69.0;5.0;6.0
556;BH;2005;101.0;9.0;6.0
557;BH;2006;98.0;66.0;32.0
558;BH;2007;109.0;64.0;35.0
559;BH;2008;141.0;105.0;37.0
560;BI;1980;;0.0;0.0
561;BI;1981;;0.0;0.0
562;BI;1982;;0.0;0.0
563;BI;1983;;0.0;0.0
564;BI;1984;;0.0;0.0
565;BI;1985;;0.0;0.0
566;BI;1986;;0.0;0.0
567;BI;1987;;0.0;0.0
568;BI;1988;;0.0;0.0
569;BI;1989;;0.0;0.0
570;BI;1990;;0.0;0.0
571;BI;1991;;0.0;0.0
572;BI;1992;;0.0;0.0
573;BI;1993;1861.0;0.0;0.0
574;BI;1994;1527.0;0.0;0.0
575;BI;1995;1121.0;719.0;390.0
576;BI;1996;1533.0;964.0;541.0
577;BI;1997;2022.0;1415.0;811.0
578;BI;1998;2782.0;1857.0;1064.0
579;BI;1999;2924.0;1911.0;1013.0
580;BI;2000;;0.0;0.0
581;BI;2001;3040.0;1758.0;1282.0
582;BI;2002;2791.0;1735.0;1056.0
583;BI;2003;3087.0;1841.0;1176.0
584;BI;2004;3277.0;1936.0;1151.0
585;BI;2005;3262.0;2040.0;1222.0
586;BI;2006;3119.0;1963.0;1156.0
587;BI;2007;3595.0;2267.0;1328.0
588;BI;2008;3610.0;2384.0;1226.0
589;BJ;1980;;0.0;0.0
590;BJ;1981;;0.0;0.0
591;BJ;1982;;0.0;0.0
592;BJ;1983;;0.0;0.0
593;BJ;1984;;0.0;0.0
594;BJ;1985;;0.0;0.0
595;BJ;1986;;0.0;0.0
596;BJ;1987;;0.0;0.0
597;BJ;1988;;0.0;0.0
598;BJ;1989;;0.0;0.0
599;BJ;1990;;0.0;0.0
600;BJ;1991;;0.0;0.0
601;BJ;1992;;0.0;0.0
602;BJ;1993;1653.0;0.0;0.0
603;BJ;1994;1618.0;0.0;0.0
604;BJ;1995;1839.0;1227.0;612.0
605;BJ;1996;1868.0;1202.0;666.0
606;BJ;1997;1939.0;1280.0;656.0
607;BJ;1998;1988.0;1260.0;728.0
608;BJ;1999;2192.0;1417.0;785.0
609;BJ;2000;2286.0;1441.0;845.0
610;BJ;2001;;0.0;0.0
611;BJ;2002;2415.0;1507.0;904.0
612;BJ;2003;2438.0;1557.0;877.0
613;BJ;2004;2582.0;1633.0;949.0
614;BJ;2005;2739.0;1810.0;929.0
615;BJ;2006;2943.0;1882.0;1061.0
616;BJ;2007;;0.0;0.0
617;BJ;2008;2966.0;1943.0;1023.0
618;BM;1980;;0.0;0.0
619;BM;1981;;0.0;0.0
620;BM;1982;;0.0;0.0
621;BM;1983;;0.0;0.0
622;BM;1984;;0.0;0.0
623;BM;1985;;0.0;0.0
624;BM;1986;;0.0;0.0
625;BM;1987;;0.0;0.0
626;BM;1988;;0.0;0.0
627;BM;1989;;0.0;0.0
628;BM;1990;;0.0;0.0
629;BM;1991;;0.0;0.0
630;BM;1992;;0.0;0.0
631;BM;1995;2.0;0.0;0.0
632;BM;1996;0.0;0.0;0.0
633;BM;1997;;0.0;0.0
634;BM;1998;0.0;0.0;0.0
635;BM;1999;0.0;0.0;0.0
636;BM;2000;0.0;0.0;0.0
637;BM;2001;0.0;0.0;0.0
638;BM;2002;0.0;0.0;0.0
639;BM;2003;;0.0;0.0
640;BM;2004;0.0;0.0;0.0
641;BM;2005;;0.0;0.0
642;BM;2006;2.0;1.0;1.0
643;BM;2007;;0.0;0.0
644;BM;2008;;0.0;0.0
645;BN;1980;;0.0;0.0
646;BN;1981;;0.0;0.0
647;BN;1982;;0.0;0.0
648;BN;1983;;0.0;0.0
649;BN;1984;;0.0;0.0
650;BN;1985;;0.0;0.0
651;BN;1986;;0.0;0.0
652;BN;1987;;0.0;0.0
653;BN;1988;;0.0;0.0
654;BN;1989;;0.0;0.0
655;BN;1990;;0.0;0.0
656;BN;1992;;0.0;0.0
657;BN;1993;68.0;0.0;0.0
658;BN;1997;0.0;0.0;0.0
659;BN;1998;;0.0;0.0
660;BN;1999;102.0;155.0;112.0
661;BN;2000;84.0;52.0;32.0
662;BN;2001;95.0;0.0;0.0
663;BN;2002;112.0;67.0;45.0
664;BN;2003;121.0;72.0;49.0
665;BN;2004;115.0;72.0;43.0
666;BN;2005;101.0;68.0;33.0
667;BN;2006;128.0;69.0;49.0
668;BN;2007;136.0;78.0;50.0
669;BN;2008;132.0;82.0;50.0
670;BO;1980;;0.0;0.0
671;BO;1981;;0.0;0.0
672;BO;1982;;0.0;0.0
673;BO;1983;;0.0;0.0
674;BO;1984;;0.0;0.0
675;BO;1985;;0.0;0.0
676;BO;1986;;0.0;0.0
677;BO;1987;;0.0;0.0
678;BO;1988;;0.0;0.0
679;BO;1989;;0.0;0.0
680;BO;1990;;0.0;0.0
681;BO;1991;;0.0;0.0
682;BO;1992;;0.0;0.0
683;BO;1993;6833.0;0.0;0.0
684;BO;1994;6905.0;0.0;0.0
685;BO;1995;7010.0;0.0;0.0
686;BO;1996;6949.0;4230.0;2719.0
687;BO;1997;6458.0;3872.0;2586.0
688;BO;1998;6750.0;4090.0;2491.0
689;BO;1999;6673.0;4054.0;2619.0
690;BO;2000;6458.0;3835.0;2623.0
691;BO;2001;6672.0;3847.0;2825.0
692;BO;2002;6829.0;3904.0;2925.0
693;BO;2003;6344.0;3779.0;2565.0
694;BO;2004;6213.0;3770.0;2443.0
695;BO;2005;6278.0;3793.0;2485.0
696;BO;2006;5788.0;3565.0;2223.0
697;BO;2007;5686.0;3229.0;2171.0
698;BO;2008;6048.0;3710.0;2338.0
699;BR;1980;;0.0;0.0
700;BR;1981;;0.0;0.0
701;BR;1982;;0.0;0.0
702;BR;1983;;0.0;0.0
703;BR;1984;;0.0;0.0
704;BR;1985;;0.0;0.0
705;BR;1986;;0.0;0.0
706;BR;1987;;0.0;0.0
707;BR;1988;;0.0;0.0
708;BR;1989;;0.0;0.0
709;BR;1990;;0.0;0.0
710;BR;1991;;0.0;0.0
711;BR;1992;;0.0;0.0
712;BR;1994;39167.0;0.0;0.0
713;BR;1995;45650.0;0.0;0.0
714;BR;1996;44503.0;0.0;0.0
715;BR;1997;43490.0;0.0;0.0
716;BR;1998;43554.0;0.0;0.0
717;BR;1999;41619.0;24576.0;13161.0
718;BR;2000;41186.0;50838.0;29650.0
719;BR;2001;38478.0;23975.0;13516.0
720;BR;2002;41371.0;26906.0;13817.0
721;BR;2003;39938.0;26119.0;13764.0
722;BR;2004;42881.0;28222.0;14659.0
723;BR;2005;42093.0;27840.0;14253.0
724;BR;2006;41117.0;27422.0;13695.0
725;BR;2007;38444.0;25895.0;12549.0
726;BR;2008;37697.0;25621.0;12076.0
727;BS;1980;;0.0;0.0
728;BS;1981;;0.0;0.0
729;BS;1982;;0.0;0.0
730;BS;1983;;0.0;0.0
731;BS;1984;;0.0;0.0
